Customerid,Gender,Age,SeniorCitizen,Married,NumberOfDependents,Country,State,City,Latitude,Longitude,NumberOfReferrals,TenureInMonths,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGbDownload,Contract,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore,ChurnLabel,ChurnScore,Cltv,ChurnCategory
6048-QBXKL,Female,68,Yes,No,0,United States,California,Madison,38.674276,-121.961866,0,2,31.74,Yes,Yes,DSL,25,Month-to-Month,Credit Card,56.55,118.25,0,0,63.48,181.73,4,No,33,2069,
6734-FQAJX,Male,65,Yes,No,0,United States,California,Somerset,38.606703,-120.586659,0,67,34.23,No,Yes,Fiber Optic,11,Two Year,Bank Withdrawal,105.05,7171.7,0,0,2293.41,9465.11,4,No,49,4143,
2378-VTKDH,Male,76,Yes,Yes,0,United States,California,Woodland,38.71967,-121.862416,9,65,8.59,Yes,Yes,Fiber Optic,7,Month-to-Month,Bank Withdrawal,104.35,6578.55,0,0,558.35,7136.9,5,No,69,4073,
2974-GGUXS,Female,74,Yes,Yes,0,United States,California,Granite Bay,38.749466,-121.184196,0,36,11.32,Yes,Yes,Fiber Optic,16,Month-to-Month,Credit Card,91.95,3301.05,17.76,0,407.52,3690.81,5,No,48,3273,
7994-XIRTR,Male,79,Yes,No,0,United States,California,Roseville,38.784329,-121.373245,0,54,5.14,No,Yes,DSL,6,One Year,Bank Withdrawal,65.25,3529.95,33.07,0,277.56,3774.44,4,No,66,6161,
5298-GSTLM,Female,74,Yes,No,0,United States,California,Sacramento,38.550722,-121.457314,0,60,48.92,Yes,Yes,Fiber Optic,11,One Year,Bank Withdrawal,101.4,6176.6,0,0,2935.2,9111.8,4,No,66,4483,
6121-TNHBO,Female,71,Yes,No,0,United States,California,Sacramento,38.512569,-121.495184,0,63,15.62,Yes,Yes,DSL,18,One Year,Bank Withdrawal,83,5243.05,0,0,984.06,6227.11,3,No,29,5428,
5119-NZPTV,Male,70,Yes,Yes,0,United States,California,Sacramento,38.475465,-121.443625,9,2,34.99,No,Yes,Fiber Optic,24,Month-to-Month,Bank Withdrawal,70.1,141.65,0,0,69.98,211.63,4,No,74,5592,
3865-ZYKAD,Male,77,Yes,Yes,0,United States,California,Sacramento,38.494832,-121.529447,7,69,14.76,Yes,Yes,Fiber Optic,14,Month-to-Month,Credit Card,84.9,5785.65,0,0,1018.44,6804.09,3,No,59,4503,
2205-LPVGL,Male,71,Yes,Yes,1,United States,California,Colusa,39.273096,-122.050763,1,58,18.43,Yes,Yes,Fiber Optic,10,One Year,Bank Withdrawal,89.85,5125.75,0,130,1068.94,6324.69,3,No,58,5035,
4868-AADLV,Male,77,Yes,Yes,2,United States,California,Durham,39.607831,-121.777959,0,66,3.27,Yes,Yes,Fiber Optic,10,One Year,Bank Withdrawal,116.25,7862.25,0,0,215.82,8078.07,3,No,31,4578,
3256-EZDBI,Male,71,Yes,Yes,0,United States,California,Greenville,40.160386,-120.835428,1,51,0,No,Yes,DSL,21,Month-to-Month,Credit Card,29.45,1459.35,0,0,0,1459.35,4,No,80,6285,
4726-DLWQN,Male,69,Yes,No,0,United States,California,Live Oak,39.258746,-121.77697,0,50,25.23,Yes,Yes,DSL,23,Month-to-Month,Bank Withdrawal,70.35,3454.6,0,100,1261.5,4816.1,3,No,30,5596,
3518-FSTWG,Male,67,Yes,Yes,0,United States,California,Paradise,39.69676,-121.644379,1,72,17.71,Yes,Yes,Fiber Optic,4,Two Year,Bank Withdrawal,109.55,7920.7,0,0,1275.12,9195.82,3,No,59,4086,
0230-UBYPQ,Male,76,Yes,Yes,0,United States,California,Hyampom,40.648024,-123.465088,2,63,0,No,Yes,DSL,7,One Year,Bank Withdrawal,36.1,2298.9,0,0,0,2298.9,3,No,48,5089,
1763-KUAAW,Female,77,Yes,No,0,United States,California,Junction City,40.913192,-123.06597,0,18,37.53,No,No,None,0,One Year,Bank Withdrawal,20.35,369.6,0,0,675.54,1045.14,4,No,30,4713,
1104-TNLZA,Male,67,Yes,Yes,0,United States,California,Klamath River,41.816595,-122.948287,8,28,24.35,Yes,Yes,Fiber Optic,15,Month-to-Month,Bank Withdrawal,105.8,2998,0,0,681.8,3679.8,3,No,73,4174,
5195-KPUNQ,Female,72,Yes,No,0,United States,California,Lakehead,40.883853,-122.418258,0,53,34.58,No,Yes,Fiber Optic,28,One Year,Credit Card,96.75,5206.55,0,0,1832.74,7039.29,4,No,58,4766,
3908-MKIMJ,Male,79,Yes,Yes,0,United States,California,Mount Shasta,41.33832,-122.290756,9,68,0,No,Yes,Cable,28,Two Year,Bank Withdrawal,41.95,2965.75,0,0,0,2965.75,3,No,34,5607,
6969-MVBAI,Female,66,Yes,No,0,United States,California,Davis Creek,41.750354,-120.403885,0,9,40,Yes,Yes,Fiber Optic,4,Month-to-Month,Bank Withdrawal,90.1,816.8,0,0,360,1176.8,5,No,48,2893,
2453-SAFNS,Female,68,Yes,No,0,United States,California,Likely,41.266008,-120.490731,0,54,45.43,Yes,Yes,Cable,2,One Year,Credit Card,72.1,3886.05,0,0,2453.22,6339.27,5,No,47,4277,
7426-GSWPO,Male,78,Yes,No,0,United States,California,Portola,39.786755,-120.445626,0,64,19.2,Yes,Yes,Fiber Optic,18,Month-to-Month,Bank Withdrawal,103.5,6548.65,0,0,1228.8,7777.45,3,No,63,5125,
4909-JOUPP,Male,76,Yes,Yes,0,United States,California,Tahoma,39.061227,-120.179546,5,72,27.74,Yes,Yes,Fiber Optic,3,Two Year,Credit Card,109.7,7898.45,0,0,1997.28,9895.73,4,No,32,4319,
6437-UDQJM,Female,72,Yes,Yes,0,United States,California,Los Angeles,34.017697,-118.200577,5,72,47.4,Yes,Yes,DSL,28,Two Year,Credit Card,84.1,6129.65,0,0,3412.8,9542.45,3,No,62,4999,
1226-IENZN,Male,68,Yes,No,0,United States,California,Los Angeles,34.066303,-118.435479,0,16,39.52,No,Yes,Fiber Optic,17,Month-to-Month,Bank Withdrawal,78.75,1218.25,0,0,632.32,1850.57,4,No,74,4351,
3411-WLRSQ,Female,80,Yes,Yes,0,United States,California,Los Angeles,34.088017,-118.327168,3,3,39.51,No,Yes,Fiber Optic,17,Month-to-Month,Bank Withdrawal,74.6,239.05,0,30,118.53,387.58,5,No,57,3711,
0822-QGCXA,Female,76,Yes,Yes,0,United States,California,Los Angeles,34.137411,-118.328915,5,27,3.43,Yes,Yes,DSL,21,Month-to-Month,Bank Withdrawal,83.85,2310.2,0,0,92.61,2402.81,5,No,35,5907,
3588-WSTTJ,Female,78,Yes,No,0,United States,California,Los Angeles,34.102084,-118.451629,0,35,31.64,Yes,Yes,Fiber Optic,7,Month-to-Month,Bank Withdrawal,99.05,3554.6,0,0,1107.4,4662,4,No,63,3484,
3798-EPWRR,Female,74,Yes,No,0,United States,California,Beverly Hills,34.062095,-118.401508,0,2,19.09,No,Yes,DSL,30,Month-to-Month,Bank Withdrawal,43.95,85.1,0,0,38.18,123.28,5,No,55,4057,
2452-MRMZF,Female,70,Yes,Yes,0,United States,California,Inglewood,33.936291,-118.332639,9,72,8.48,Yes,No,None,0,Two Year,Credit Card,25.7,1937.4,0,0,610.56,2547.96,3,No,21,5079,
4989-LIXVT,Male,66,Yes,No,0,United States,California,Santa Monica,34.026334,-118.474222,0,68,19.67,Yes,Yes,Fiber Optic,28,Month-to-Month,Bank Withdrawal,95.9,6503.2,0,0,1337.56,7840.76,3,No,68,5080,
5481-NTDOH,Female,67,Yes,Yes,0,United States,California,Whittier,33.945318,-117.992066,8,67,38.47,Yes,Yes,Fiber Optic,20,One Year,Credit Card,107.05,7142.5,0,0,2577.49,9719.99,3,No,21,4126,
0749-IRGQE,Female,68,Yes,Yes,0,United States,California,Buena Park,33.874224,-117.993368,5,13,0,No,Yes,DSL,9,Month-to-Month,Bank Withdrawal,45.3,528.45,0,0,0,528.45,4,No,48,4118,
1754-GKYPY,Male,65,Yes,Yes,0,United States,California,Carson,33.859171,-118.252272,8,22,22.38,No,Yes,Fiber Optic,14,Month-to-Month,Bank Withdrawal,89.75,1938.9,0,0,492.36,2431.26,3,No,23,4180,
1591-MQJTP,Male,76,Yes,Yes,0,United States,California,Long Beach,33.783047,-118.1486,7,51,2.21,Yes,Yes,Fiber Optic,10,One Year,Bank Withdrawal,93.65,4839.15,0,0,112.71,4951.86,4,No,68,4163,
7471-MQPOS,Male,74,Yes,Yes,3,United States,California,Long Beach,33.823943,-118.111335,1,71,46.11,Yes,Yes,DSL,20,One Year,Bank Withdrawal,72.9,5139.65,0,20,3273.81,8433.46,4,No,54,6404,
3259-KNMRR,Male,72,Yes,No,0,United States,California,Montrose,34.2112,-118.230625,0,57,9.1,Yes,Yes,DSL,16,Two Year,Bank Withdrawal,79.75,4438.2,0,0,518.7,4956.9,4,No,79,5371,
6120-RJKLU,Female,69,Yes,Yes,0,United States,California,Sierra Madre,34.168686,-118.057505,9,62,24.62,No,Yes,DSL,29,Two Year,Credit Card,79.95,4819.75,0,0,1526.44,6346.19,4,No,54,6488,
4323-OHFOW,Female,72,Yes,Yes,0,United States,California,Newhall,34.370378,-118.504118,1,70,33.74,Yes,Yes,Fiber Optic,24,One Year,Bank Withdrawal,105.55,7195.35,0,0,2361.8,9557.15,4,No,51,4605,
6563-VNPMN,Female,80,Yes,No,0,United States,California,Sylmar,34.321621,-118.399841,0,45,4.14,No,Yes,Fiber Optic,20,Month-to-Month,Bank Withdrawal,85.7,3778.1,0,50,186.3,4014.4,4,No,44,5397,
2267-WTPYD,Female,77,Yes,Yes,0,United States,California,Granada Hills,34.291273,-118.505104,1,57,23.05,Yes,Yes,Fiber Optic,30,Month-to-Month,Credit Card,94,5438.95,0,0,1313.85,6752.8,5,No,49,6015,
9129-UXERG,Female,65,Yes,No,0,United States,California,Van Nuys,34.202494,-118.448048,0,18,1.27,Yes,Yes,Fiber Optic,3,Month-to-Month,Credit Card,103.6,1806.35,0,10,22.86,1839.21,4,No,73,2094,
6229-LSCKB,Male,69,Yes,No,0,United States,California,Encino,34.152875,-118.486056,0,6,48.32,No,Yes,Fiber Optic,11,Month-to-Month,Bank Withdrawal,79.7,497.6,0,0,289.92,787.52,5,No,44,2893,
6127-IYJOZ,Male,71,Yes,No,0,United States,California,Studio City,34.139082,-118.39275,0,1,40.38,No,Yes,DSL,6,Month-to-Month,Credit Card,45.85,45.85,0,0,40.38,86.23,5,No,56,5715,
8065-QBYTO,Female,68,Yes,No,0,United States,California,Pomona,34.067932,-117.785168,0,71,3.91,Yes,Yes,Fiber Optic,12,One Year,Credit Card,99.65,7181.25,0,0,277.61,7458.86,4,No,63,5448,
7921-LMDFQ,Male,69,Yes,No,0,United States,California,Chula Vista,32.636792,-117.054989,0,51,4.14,No,Yes,Fiber Optic,21,One Year,Bank Withdrawal,94,4905.75,0,0,211.14,5116.89,4,No,77,6034,
5820-PTRYM,Female,75,Yes,Yes,0,United States,California,Chula Vista,32.64164,-116.985026,1,56,26.82,Yes,Yes,Cable,18,One Year,Credit Card,68.45,4014,0,0,1501.92,5515.92,4,No,79,4368,
6211-WHMYA,Female,77,Yes,No,0,United States,California,Chula Vista,32.605012,-116.97595,0,64,0,No,Yes,DSL,21,Month-to-Month,Bank Withdrawal,43.85,2751,0,30,0,2781,5,No,46,6055,
3454-JFUBC,Male,66,Yes,No,0,United States,California,Pala,33.384345,-117.072619,0,68,10.48,No,No,None,0,Two Year,Credit Card,20,1396,0,0,712.64,2108.64,5,No,55,6136,
2451-YMUXS,Male,79,Yes,No,0,United States,California,Vista,33.22784,-117.200024,0,67,28.88,Yes,Yes,DSL,11,Two Year,Bank Withdrawal,64.55,4250.1,0,0,1934.96,6185.06,3,No,67,4494,
4690-PKDQG,Female,66,Yes,Yes,0,United States,California,San Diego,32.716007,-117.117462,3,42,22.89,Yes,Yes,Fiber Optic,12,Month-to-Month,Bank Withdrawal,95.55,3930.6,0,0,961.38,4891.98,3,No,26,4121,
7789-CRUVC,Female,77,Yes,Yes,0,United States,California,San Diego,32.741852,-117.243453,1,61,33.75,Yes,Yes,Fiber Optic,29,Month-to-Month,Credit Card,94.2,5895.45,0,0,2058.75,7954.2,3,No,76,5274,
9972-VAFJJ,Female,77,Yes,Yes,0,United States,California,San Diego,32.765299,-117.122565,1,53,47.64,No,Yes,Fiber Optic,25,One Year,Bank Withdrawal,94,4871.45,0,0,2524.92,7396.37,3,No,73,6355,
5981-ZVXOT,Female,72,Yes,No,0,United States,California,San Diego,32.89325,-117.087091,0,35,10.73,Yes,Yes,Fiber Optic,3,One Year,Bank Withdrawal,108.35,3726.15,0,0,375.55,4101.7,3,No,50,5139,
2274-XUATA,Male,78,Yes,Yes,0,United States,California,Earp,34.137742,-114.36514,8,72,0,No,Yes,Cable,26,Two Year,Bank Withdrawal,63.1,4685.55,0,0,0,4685.55,3,No,56,4933,
0666-UXTJO,Male,80,Yes,Yes,0,United States,California,Morongo Valley,34.097863,-116.594561,4,34,29.66,No,Yes,Fiber Optic,29,Month-to-Month,Credit Card,85.2,2874.45,0,0,1008.44,3882.89,5,No,27,5393,
1035-IPQPU,Female,77,Yes,Yes,0,United States,California,Parker Dam,34.273872,-114.192901,2,63,18.14,Yes,Yes,Fiber Optic,2,Month-to-Month,Bank Withdrawal,103.5,6479.4,0,0,1142.82,7622.22,4,No,53,5187,
2235-DWLJU,Female,75,Yes,No,0,United States,California,Thousand Palms,33.849263,-116.382778,0,6,0,No,Yes,DSL,24,Month-to-Month,Bank Withdrawal,44.4,263.05,0,0,0,263.05,5,No,71,4611,
3605-JISKB,Male,67,Yes,Yes,0,United States,California,Twentynine Palms,34.457829,-116.139589,2,55,9.08,Yes,Yes,Cable,23,One Year,Credit Card,60,3316.1,0,0,499.4,3815.5,4,No,71,4212,
3668-QPYBK,Male,37,No,No,0,United States,California,Los Angeles,33.964131,-118.272783,0,2,10.47,No,Yes,DSL,21,Month-to-Month,Credit Card,53.85,108.15,0,0,20.94,129.09,1,Yes,86,3239,Competitor
9237-HQITU,Female,19,No,No,2,United States,California,Los Angeles,34.059281,-118.30742,0,2,9.12,No,Yes,Fiber Optic,51,Month-to-Month,Bank Withdrawal,70.7,151.65,0,0,18.24,169.89,2,Yes,67,2701,Other
9305-CDSKC,Female,31,No,No,2,United States,California,Los Angeles,34.048013,-118.293953,0,8,12.15,Yes,Yes,Cable,26,Month-to-Month,Bank Withdrawal,99.65,820.5,0,0,97.2,917.7,3,Yes,86,5372,Other
7892-POOKP,Female,23,No,Yes,3,United States,California,Los Angeles,34.062125,-118.315709,0,28,4.89,Yes,Yes,Fiber Optic,47,Month-to-Month,Bank Withdrawal,104.8,3046.05,0,0,136.92,3182.97,3,Yes,84,5003,Other
0280-XJGEX,Male,38,No,No,1,United States,California,Los Angeles,34.039224,-118.266293,0,49,44.33,Yes,Yes,Fiber Optic,11,Month-to-Month,Bank Withdrawal,103.7,5036.3,0,0,2172.17,7208.47,1,Yes,89,5340,Competitor
4190-MFLUW,Female,21,No,Yes,0,United States,California,San Diego,32.898613,-117.202937,6,10,9.41,No,Yes,Cable,69,Month-to-Month,Credit Card,55.2,528.35,0,0,94.1,622.45,1,Yes,78,5925,Competitor
1066-JKSGK,Male,29,No,No,0,United States,California,Los Angeles,34.066303,-118.435479,0,1,33.58,No,No,None,0,Month-to-Month,Credit Card,20.15,20.15,0,0,33.58,53.73,1,Yes,92,4832,Competitor
6467-CHFZW,Male,61,No,Yes,1,United States,California,Los Angeles,34.099869,-118.326843,1,47,31.35,Yes,Yes,Fiber Optic,16,Month-to-Month,Bank Withdrawal,99.35,4749.15,0,0,1473.45,6222.6,1,Yes,77,5789,Competitor
8665-UTDHZ,Male,27,No,Yes,0,United States,California,Los Angeles,34.089953,-118.294824,1,1,0,No,Yes,DSL,58,Month-to-Month,Bank Withdrawal,30.2,30.2,0,0,0,30.2,1,Yes,90,2915,Competitor
8773-HHUOZ,Female,20,No,No,0,United States,California,Los Angeles,34.078821,-118.177576,0,17,40.55,No,Yes,Cable,41,Month-to-Month,Credit Card,64.7,1093.1,0,0,689.35,1782.45,1,Yes,74,3022,Competitor
6047-YHPVI,Male,56,No,No,3,United States,California,Los Angeles,34.110845,-118.259595,0,5,12.6,No,Yes,Fiber Optic,58,Month-to-Month,Bank Withdrawal,69.7,316.9,0,0,63,379.9,1,Yes,66,2454,Competitor
5380-WJKOV,Male,51,No,No,1,United States,California,Los Angeles,34.137412,-118.207607,0,34,21.69,Yes,Yes,Fiber Optic,28,Month-to-Month,Bank Withdrawal,106.35,3549.25,0,0,737.46,4286.71,2,Yes,65,2941,Competitor
8168-UQWWF,Female,48,No,No,2,United States,California,Los Angeles,34.11572,-118.192754,0,11,27.57,Yes,Yes,Cable,18,Month-to-Month,Bank Withdrawal,97.85,1105.4,0,0,303.27,1408.67,3,Yes,70,5674,Competitor
7760-OYPDY,Female,32,No,No,2,United States,California,Los Angeles,33.987945,-118.370442,0,2,5.85,No,Yes,Fiber Optic,19,Month-to-Month,Bank Withdrawal,80.65,144.15,0,20,11.7,175.85,1,Yes,90,5586,Competitor
9420-LOJKX,Female,34,No,No,1,United States,California,Los Angeles,33.92128,-118.274186,0,15,3.96,No,Yes,Fiber Optic,20,Month-to-Month,Credit Card,99.1,1426.4,0,0,59.4,1485.8,1,Yes,82,2966,Competitor
5698-BQJOH,Female,41,No,No,2,United States,California,Beverly Hills,34.063947,-118.383001,0,9,27.21,Yes,Yes,Fiber Optic,29,Month-to-Month,Bank Withdrawal,94.4,857.25,0,0,244.89,1102.14,3,Yes,96,5571,Price
5919-TMRGD,Female,32,No,No,3,United States,California,Huntington Park,33.97803,-118.217141,0,1,13.13,No,Yes,Fiber Optic,57,Month-to-Month,Bank Withdrawal,79.35,79.35,0,0,13.13,92.48,1,Yes,87,2483,Competitor
9191-MYQKX,Female,34,No,Yes,5,United States,California,Lynwood,33.923573,-118.200669,1,7,8.69,No,Yes,Fiber Optic,53,Month-to-Month,Bank Withdrawal,75.15,496.9,0,0,60.83,557.73,1,Yes,70,3457,Dissatisfaction
8637-XJIVR,Female,34,No,No,3,United States,California,Marina Del Rey,33.977468,-118.445475,0,12,25.34,Yes,Yes,Fiber Optic,56,Month-to-Month,Bank Withdrawal,78.95,927.35,0,80,304.08,1311.43,1,Yes,86,5806,Attitude
0278-YXOOG,Male,30,No,No,0,United States,California,Inglewood,33.956445,-118.358634,0,5,34.26,No,No,None,0,Month-to-Month,Credit Card,21.05,113.85,0,0,171.3,285.15,3,Yes,66,2604,Attitude
3192-NQECA,Male,26,No,Yes,0,United States,California,Santa Monica,34.031529,-118.491156,4,68,14.79,Yes,Yes,Fiber Optic,47,Two Year,Bank Withdrawal,110,7611.85,0,0,1005.72,8617.57,2,Yes,86,5034,Competitor
0486-HECZI,Male,37,No,Yes,1,United States,California,Torrance,33.867257,-118.330794,0,55,49.06,Yes,Yes,Fiber Optic,27,Month-to-Month,Bank Withdrawal,96.75,5238.9,0,0,2698.3,7937.2,1,Yes,75,5154,Price
5299-RULOA,Female,62,No,Yes,2,United States,California,Whittier,33.976678,-118.065875,1,10,24.48,Yes,Yes,Fiber Optic,30,Month-to-Month,Bank Withdrawal,100.25,1064.65,0,0,244.8,1309.45,2,Yes,87,5998,Price
0404-SWRVG,Male,21,No,No,2,United States,California,La Habra,33.940619,-117.9513,0,3,14.6,Yes,Yes,Fiber Optic,71,Month-to-Month,Bank Withdrawal,74.4,229.55,8.74,0,43.8,264.61,1,Yes,76,4415,Dissatisfaction
6207-WIOLX,Female,27,No,Yes,0,United States,California,Avalon,33.391181,-118.421305,6,25,0,No,Yes,DSL,48,Month-to-Month,Credit Card,58.6,1502.65,4.48,0,0,1498.17,1,Yes,91,4190,Attitude
3091-FYHKI,Male,64,No,No,0,United States,California,Harbor City,33.798266,-118.300237,0,1,0,No,Yes,DSL,22,Month-to-Month,Bank Withdrawal,35.45,35.45,0,0,0,35.45,3,Yes,80,2301,Dissatisfaction
2372-HWUHI,Male,45,No,No,0,United States,California,Lakewood,33.840524,-118.148403,0,2,46.84,No,Yes,DSL,3,Month-to-Month,Bank Withdrawal,44.35,81.25,0,0,93.68,174.93,3,Yes,76,2570,Other
4080-OGPJL,Female,53,No,No,0,United States,California,San Pedro,33.736387,-118.284363,0,8,48.14,Yes,Yes,DSL,18,Month-to-Month,Bank Withdrawal,71.15,563.65,0,0,385.12,948.77,1,Yes,66,2662,Other
2135-RXIHG,Male,63,No,No,0,United States,California,Carson,33.822295,-118.26411,0,1,14.12,No,Yes,Cable,24,Month-to-Month,Bank Withdrawal,45.65,45.65,0,0,14.12,59.77,1,Yes,73,2600,Competitor
3874-EQOEP,Male,32,No,No,4,United States,California,Long Beach,33.783047,-118.1486,0,7,20.52,Yes,Yes,Cable,28,Month-to-Month,Credit Card,95,655.5,36.6,10,143.64,772.54,1,Yes,94,2786,Competitor
0867-MKZVY,Female,26,No,Yes,1,United States,California,Altadena,34.196837,-118.142236,5,20,36.6,Yes,Yes,Fiber Optic,51,Month-to-Month,Bank Withdrawal,82.4,1592.35,33.43,0,732,2290.92,1,Yes,86,5719,Price
3376-BMGFE,Female,42,No,No,1,United States,California,Monrovia,34.1528,-118.000482,0,4,33.5,No,Yes,Fiber Optic,27,Month-to-Month,Bank Withdrawal,70.9,273,8.74,0,134,398.26,1,Yes,75,4287,Dissatisfaction
1875-QIVME,Female,26,No,Yes,3,United States,California,Tujunga,34.296574,-118.244839,1,2,11.51,Yes,Yes,Fiber Optic,53,Month-to-Month,Bank Withdrawal,104.4,242.8,45.44,0,23.02,220.38,3,Yes,83,4690,Attitude
0691-JVSYA,Female,24,No,Yes,0,United States,California,Pasadena,34.167465,-118.165327,5,53,40.62,No,Yes,Fiber Optic,73,One Year,Bank Withdrawal,94.85,5000.2,18.55,0,2152.86,7134.51,1,Yes,80,4328,Competitor
6317-YPKDH,Female,54,No,No,0,United States,California,Glendale,34.167926,-118.267539,0,1,0,No,Yes,DSL,27,Month-to-Month,Bank Withdrawal,29.95,29.95,0,0,0,29.95,1,Yes,95,4534,Competitor
9367-WXLCH,Male,51,No,No,2,United States,California,Glendale,34.136306,-118.26036,0,8,25.73,Yes,Yes,Fiber Optic,19,Month-to-Month,Bank Withdrawal,84.5,662.65,33.21,0,205.84,835.28,2,Yes,86,2152,Price
1918-ZBFQJ,Female,48,No,No,3,United States,California,Glendale,34.162515,-118.203869,0,13,33.54,No,Yes,Fiber Optic,76,Month-to-Month,Bank Withdrawal,79.25,1111.65,48.25,0,436.02,1499.42,1,Yes,73,5142,Competitor
1024-GUALD,Female,29,No,Yes,0,United States,California,Glendale,34.182378,-118.262922,4,1,0,No,Yes,DSL,29,Month-to-Month,Bank Withdrawal,24.8,24.8,0,0,0,24.8,1,Yes,94,4851,Dissatisfaction
2472-OVKUP,Male,39,No,Yes,2,United States,California,Canoga Park,34.224377,-118.632656,5,6,42.08,No,Yes,Fiber Optic,29,Month-to-Month,Bank Withdrawal,91,531,0,0,252.48,783.48,2,Yes,94,2283,Dissatisfaction
1285-OKIPP,Male,62,No,No,3,United States,California,Mission Hills,34.266389,-118.459744,0,1,23.2,No,Yes,Fiber Optic,21,Month-to-Month,Bank Withdrawal,79.9,79.9,0,0,23.2,103.1,2,Yes,91,3394,Attitude
7825-ECJRF,Female,43,No,No,1,United States,California,Santa Clarita,34.502432,-118.41459,0,19,28.35,No,Yes,Fiber Optic,19,Month-to-Month,Bank Withdrawal,106.6,1934.45,21.72,40,538.65,2491.38,1,Yes,71,3764,Dissatisfaction
7841-TZDMQ,Male,19,No,No,0,United States,California,Sun Valley,34.231053,-118.338307,0,2,49.81,No,Yes,DSL,41,Month-to-Month,Credit Card,46,84.5,0,0,99.62,184.12,3,Yes,76,2667,Other
9408-SSNVZ,Female,39,No,No,2,United States,California,Stevenson Ranch,34.364153,-118.615583,0,4,29.4,No,Yes,Fiber Optic,17,Month-to-Month,Bank Withdrawal,70.15,268.35,21.69,0,117.6,364.26,2,Yes,67,2227,Other
0742-MOABM,Male,50,No,Yes,0,United States,California,Fallbrook,33.362575,-117.299644,2,4,9.67,No,Yes,Cable,22,Month-to-Month,Credit Card,50.05,179.35,0,0,38.68,218.03,2,Yes,82,3394,Competitor
2232-DMLXU,Female,22,No,Yes,0,United States,California,Van Nuys,34.17847,-118.459472,0,1,35.6,No,Yes,DSL,58,Month-to-Month,Credit Card,55.2,55.2,0,0,35.6,90.8,2,Yes,81,3638,Dissatisfaction
8937-RDTHP,Male,40,No,No,1,United States,California,Burbank,34.213049,-118.317651,0,1,26.85,No,Yes,Fiber Optic,11,Month-to-Month,Credit Card,84.6,84.6,0,0,26.85,111.45,2,Yes,66,2484,Dissatisfaction
1251-KRREG,Male,22,No,No,0,United States,California,North Hollywood,34.1692,-118.372498,0,2,44.31,Yes,Yes,DSL,73,Month-to-Month,Credit Card,54.4,114.1,0,0,88.62,202.72,3,Yes,81,2556,Price
0322-YINQP,Male,37,No,No,0,United States,California,Covina,34.084747,-117.886844,0,1,11.35,No,Yes,DSL,9,Month-to-Month,Credit Card,48.55,48.55,0,0,11.35,59.9,1,Yes,77,5687,Attitude
4629-NRXKX,Female,47,No,Yes,0,United States,California,El Monte,34.079934,-118.046695,1,2,46.23,No,Yes,Fiber Optic,21,Month-to-Month,Bank Withdrawal,70.4,147.15,0,0,92.46,239.61,1,Yes,75,5687,Dissatisfaction
4959-JOSRX,Female,41,No,Yes,0,United States,California,La Puente,34.031441,-117.936436,3,2,30.19,No,Yes,Cable,16,Month-to-Month,Credit Card,44.6,80.55,0,0,60.38,140.93,2,Yes,91,4884,Price
6323-AYBRX,Male,51,No,No,0,United States,California,Ontario,34.057256,-117.667677,0,59,26.63,No,No,None,0,Two Year,Credit Card,19.35,1099.6,14.22,0,1571.17,2656.55,3,Yes,83,5084,Price
6366-ZGQGL,Male,60,No,No,0,United States,California,Pomona,34.042286,-117.756106,0,1,0,No,Yes,Cable,29,Month-to-Month,Bank Withdrawal,24.8,24.8,0,0,0,24.8,2,Yes,73,5087,Dissatisfaction
5940-AHUHD,Male,30,No,No,0,United States,California,Pomona,34.067932,-117.785168,0,1,44.59,No,Yes,Fiber Optic,41,Month-to-Month,Credit Card,70.6,70.6,0,0,44.59,115.19,2,Yes,69,3338,Attitude
6432-TWQLB,Male,51,No,Yes,0,United States,California,Rosemead,34.065108,-118.082791,1,5,42.29,Yes,Yes,Fiber Optic,16,Month-to-Month,Bank Withdrawal,85.4,401.1,45.37,0,211.45,567.18,3,Yes,80,3676,Dissatisfaction
4484-GLZOU,Female,20,No,Yes,0,United States,California,San Dimas,34.102119,-117.815532,6,52,10.59,Yes,Yes,Fiber Optic,48,Month-to-Month,Bank Withdrawal,105.05,5624.85,27.6,0,550.68,6147.93,2,Yes,65,4839,Other
9512-UIBFX,Male,52,No,Yes,0,United States,California,West Covina,34.061634,-117.893169,6,18,1.51,No,Yes,Fiber Optic,28,Month-to-Month,Credit Card,95.15,1779.95,10.17,0,27.18,1796.96,3,Yes,68,4643,Other
5583-SXDAG,Male,41,No,Yes,0,United States,California,Alhambra,34.074736,-118.145959,1,1,19.15,No,Yes,Fiber Optic,18,Month-to-Month,Bank Withdrawal,70,70,0,10,19.15,99.15,3,Yes,90,4094,Other
3580-REOAC,Male,34,No,No,0,United States,California,San Diego,32.85723,-117.209774,0,10,49.58,No,Yes,DSL,17,Month-to-Month,Credit Card,44.85,435.4,0,0,495.8,931.2,2,Yes,83,4061,Competitor
6390-DSAZX,Female,21,No,No,0,United States,California,San Diego,32.85723,-117.209774,0,1,6.19,No,Yes,Fiber Optic,52,Month-to-Month,Credit Card,73.6,73.6,0,0,6.19,79.79,1,Yes,80,2565,Competitor
